site_code,status,lat,long,segment_start,segment_end,land_use_class,nlcd_code,nlcd_snapshot_year
AA-17,Ended,33.4520226552311,-111.801202844851,2002-06-23,2006-01-01,"Developed, medium intensity",23,2001
AA-17,Ended,33.4520226552311,-111.801202844851,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
AA-17,Ended,33.4520226552311,-111.801202844851,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
AA-17,Ended,33.4520226552311,-111.801202844851,2016-01-01,2016-11-04,"Developed, medium intensity",23,2016
AB-19,Active,33.3516219330871,-111.773602410908,2002-06-10,2006-01-01,"Developed, low intensity",22,2001
AB-19,Active,33.3516219330871,-111.773602410908,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AB-19,Active,33.3516219330871,-111.773602410908,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AB-19,Active,33.3516219330871,-111.773602410908,2016-01-01,2019-01-01,"Developed, low intensity",22,2016
AB-19,Active,33.3516219330871,-111.773602410908,2019-01-01,2025-12-03,"Developed, low intensity",22,2019
AC-16,Ended,33.4796230526047,-111.71940537725,2002-06-18,2006-01-01,"Developed, low intensity",22,2001
AC-16,Ended,33.4796230526047,-111.71940537725,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AC-16,Ended,33.4796230526047,-111.71940537725,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AC-16,Ended,33.4796230526047,-111.71940537725,2016-01-01,2016-11-04,"Developed, low intensity",22,2016
AC-20,Ended,33.3430714725017,-111.723026646088,2004-11-08,2006-01-01,"Developed, low intensity",22,2001
AC-20,Ended,33.3430714725017,-111.723026646088,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AC-20,Ended,33.3430714725017,-111.723026646088,2011-01-01,2014-11-06,"Developed, low intensity",22,2011
AD-10,Active,33.6768121826018,-111.711467800824,2002-06-18,2006-01-01,Shrub/scrub,52,2001
AD-10,Active,33.6768121826018,-111.711467800824,2006-01-01,2011-01-01,Shrub/scrub,52,2006
AD-10,Active,33.6768121826018,-111.711467800824,2011-01-01,2016-01-01,Shrub/scrub,52,2011
AD-10,Active,33.6768121826018,-111.711467800824,2016-01-01,2019-01-01,Shrub/scrub,52,2016
AD-10,Active,33.6768121826018,-111.711467800824,2019-01-01,2025-12-03,Shrub/scrub,52,2019
ADODAM,Ended,33.690745048336,-112.139458178184,1998-05-04,2001-01-01,Shrub/scrub,52,2001
ADODAM,Ended,33.690745048336,-112.139458178184,2001-01-01,2006-01-01,Shrub/scrub,52,2001
