site_code,start_date,end_date,status,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019
AA-17,2002-06-23,2016-11-04,Retired early,33.45202174568083,-111.80119980581311,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
AB-19,2002-06-10,2025-01-31,Sampled to study end,33.35162519231977,-111.77361333568486,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AC-16,2002-06-18,2016-11-04,Retired early,33.47962283806787,-111.71940466265252,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AC-20,2004-11-08,2015-02-06,Retired early,33.34307477301895,-111.72303770635072,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AD-10,2002-06-18,2025-01-17,Sampled to study end,33.676813524051646,-111.71147225104603,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
ADODAM,1998-05-04,2016-11-03,Retired early,33.69074536746741,-112.13945924150055,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
AF-12,2002-06-18,2025-01-17,Sampled to study end,33.610112538175784,-111.62225671919431,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
ALF202,1998-06-18,2001-09-03,Retired early,33.4346567814031,-111.86787408242553,Cultivated crops,Cultivated crops,"Developed, high intensity",True,82,82,24,82,Cultivated crops,82,Cultivated crops,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
ALF91,1999-06-18,2001-11-26,Retired early,33.5511732142595,-112.25404630385287,Cultivated crops,Cultivated crops,"Developed, high intensity",True,82,82,24,82,Cultivated crops,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
ALFCHA,1998-06-11,2001-08-27,Retired early,33.302830963898685,-111.96187093140294,Shrub/scrub,Shrub/scrub,"Developed, medium intensity",True,52,52,23,52,Shrub/scrub,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
ALFPOW,1998-06-03,2015-02-06,Retired early,33.35010869998907,-111.70016478587338,Cultivated crops,Cultivated crops,"Developed, open space",True,82,82,21,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,21,"Developed, open space",21,"Developed, open space"
BD,1999-06-04,2001-11-05,Retired early,33.39627137050923,-111.92867113223045,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
BM,1999-06-10,2001-08-27,Retired early,33.411133834096695,-111.94611195043161,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
Bell,2012-02-23,2025-01-19,Sampled to study end,33.64092797,-111.85715019,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
CINWES,1998-06-03,2002-04-14,Retired early,33.3652921916318,-111.68872049164868,Shrub/scrub,Shrub/scrub,"Developed, low intensity",True,52,52,22,52,Shrub/scrub,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
CONSTO,1998-06-25,2001-02-12,Retired early,33.32785622867583,-111.95926748939266,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
COTPEO,1998-06-25,1999-05-21,Retired early,33.61099434005655,-112.23803907176229,Cultivated crops,Cultivated crops,"Developed, low intensity",True,82,82,22,82,Cultivated crops,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
DBG,1998-04-23,2025-01-17,Sampled to study end,33.463731303656914,-111.94230423562338,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
DREAMY,1999-06-25,2025-01-16,Sampled to study end,33.56391232677143,-112.02739538024463,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
DUNCAN,2005-01-24,2005-08-27,Retired early,33.49300461705092,-112.4287083826208,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Dixileta,2012-02-23,2025-01-24,Sampled to study end,33.75610739,-111.844353495,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
ESTREL,1999-06-18,2002-04-22,Retired early,33.36938349740079,-112.36906547984236,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Gateway,2012-02-23,2025-01-19,Sampled to study end,33.644507375,-111.84884062,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
HONEY,1998-06-25,2002-04-22,Retired early,33.65874402762514,-112.11165819242754,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
I-17,2002-04-29,2025-01-24,Sampled to study end,33.440738172386546,-112.57711697451671,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
INSIGH,1998-06-03,2002-04-01,Retired early,33.35684311930356,-111.96794312190566,Shrub/scrub,Shrub/scrub,"Developed, high intensity",True,52,52,24,52,Shrub/scrub,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
JOHNIC,1998-06-25,2002-04-22,Retired early,33.61487321363803,-112.12160550686835,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
L-7,2002-04-29,2016-10-27,Retired early,33.781062691807236,-112.45213224577401,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
LoneMtn,2012-02-23,2025-01-24,Sampled to study end,33.76264058,-111.842862815,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
M-16,2004-04-24,2016-11-03,Retired early,33.486711455187,-112.44389735624765,Cultivated crops,Cultivated crops,Cultivated crops,False,82,82,82,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops
MCDOW,1999-06-17,2002-04-15,Retired early,33.70842422290718,-111.70029342212901,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
MORR-2,2002-06-25,2004-07-22,Retired early,33.334970388934586,-111.72382290169529,Cultivated crops,Cultivated crops,"Developed, low intensity",True,82,82,22,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,22,"Developed, low intensity"
MVLH2,1999-06-17,2002-04-14,Retired early,33.41131200299256,-111.68803865806892,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
MW,1999-06-16,2001-08-07,Retired early,33.43714156348268,-111.72315908076835,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
