"site_code","sample_date","comments","flags","display_name","count","immature","winged","size","observer","trap_name","trap_count"
"AA-17",2002-06-23,NA,NA,"Acari",5,NA,NA,"not measured","MATS","8",7
"AA-17",2002-06-23,NA,NA,"Acari",1,NA,NA,"not measured","HA","2",7
"AA-17",2002-06-23,NA,NA,"Clubionidae",2,NA,NA,"not measured","GDD","4",7
"AA-17",2002-06-23,NA,NA,"Formicidae",8,NA,NA,"not measured","HA","2",7
"AA-17",2002-06-23,NA,NA,"Formicidae",1,NA,NA,"not measured","MATS","8",7
"AA-17",2002-06-23,NA,NA,"Formicidae",6,NA,NA,"not measured","MMM","1",7
"AA-17",2002-06-23,NA,NA,"Formicidae",4,NA,NA,"not measured","CHMA","3",7
"AA-17",2002-06-23,NA,NA,"Formicidae",5,NA,NA,"not measured","TIS","5",7
"AA-17",2002-06-23,NA,NA,"Formicidae",1,NA,NA,"not measured","GDD","4",7
"AA-17",2002-06-23,NA,NA,"Hymenoptera",1,NA,"TRUE","not measured","HA","2",7
"AA-17",2002-06-23,NA,NA,"Isopoda",1,NA,NA,"not measured","MMM","1",7
"AA-17",2002-06-23,NA,NA,"Lepismatidae",2,NA,NA,"not measured","CHMA","6",7
"AA-17",2002-06-23,NA,NA,"Lepismatidae",2,NA,NA,"not measured","TIS","5",7
"AA-17",2002-06-23,NA,NA,"Meinertellidae",1,NA,NA,"not measured","MATS","8",7
"AA-17",2002-06-23,NA,NA,"Tenebrionidae",1,NA,NA,"between 2 and 5 mm","GDD","4",7
"AA-17",2002-06-23,NA,NA,"Tenebrionidae",2,NA,NA,"between 2 and 5 mm","CHMA","6",7
"AA-17",2002-06-23,NA,NA,"Tenebrionidae",1,NA,NA,"between 2 and 5 mm","TIS","5",7
"AA-17",2002-06-23,NA,NA,"Tenebrionidae",2,NA,NA,"less than 2 mm","CHMA","3",7
"AA-17",2002-06-23,"trap missing","trap_not_collected",NA,NA,NA,NA,NA,NA,"7",7
"AA-17",2002-06-23,"trap missing","trap_not_collected",NA,NA,NA,NA,NA,NA,"9",7
"AA-17",2002-06-23,"trap missing","trap_not_collected",NA,NA,NA,NA,NA,NA,"10",7
"AA-17",2002-08-03,NA,NA,"Acari",4,NA,NA,"not measured","MATS","7",9
