"site_code","sample_date","comments","flags","display_name","count","immature","winged","size","observer","trap_name","trap_count"
"Bell",2012-02-23,NA,NA,"Acari",2,NA,NA,"not measured","ChAl","1",10
"Bell",2012-02-23,NA,NA,"Bethylidae",1,NA,NA,"not measured","ChAl","1",10
"Bell",2012-02-23,NA,NA,"Cicadellidae",2,"TRUE",NA,"not measured","ChAl","1",10
"Bell",2012-02-23,NA,NA,"Pheidole xerophila",2,NA,NA,"not measured","ChAl","1",10
"Bell",2012-02-23,NA,NA,"Pyralidae",2,"TRUE",NA,"not measured","ChAl","1",10
"Bell",2012-02-23,NA,NA,"Sminthuridae",3,NA,NA,"not measured","ChAl","1",10
"Bell",2012-02-23,NA,NA,"Acari",2,NA,NA,"not measured","ChAl","2",10
"Bell",2012-02-23,NA,NA,"Araneidae",1,NA,NA,"not measured","ChAl","2",10
"Bell",2012-02-23,NA,NA,"Meinertellidae",4,NA,NA,"not measured","ChAl","2",10
"Bell",2012-02-23,NA,NA,"Opiliones",1,NA,NA,"not measured","ChAl","2",10
"Bell",2012-02-23,NA,NA,"Pyralidae",1,"TRUE",NA,"not measured","ChAl","2",10
"Bell",2012-02-23,NA,NA,"Sminthuridae",1,NA,NA,"not measured","ChAl","2",10
"Bell",2012-02-23,NA,NA,"Acari",10,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Coccoidea",1,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Meinertellidae",1,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Micaria",1,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Opiliones",1,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Sminthuridae",2,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Solifugae",1,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Tiphiidae",1,NA,NA,"not measured","ChAl","3",10
"Bell",2012-02-23,NA,NA,"Acari",3,NA,NA,"not measured","ChAl","4",10
"Bell",2012-02-23,NA,NA,"Bethylidae",1,NA,NA,"not measured","ChAl","4",10
"Bell",2012-02-23,NA,NA,"Meinertellidae",1,NA,NA,"not measured","ChAl","4",10
"Bell",2012-02-23,NA,NA,"Micaria",1,NA,NA,"not measured","ChAl","4",10
"Bell",2012-02-23,NA,NA,"Mutillidae",1,NA,NA,"not measured","ChAl","4",10
"Bell",2012-02-23,NA,NA,"Opiliones",1,NA,NA,"not measured","ChAl","4",10
