site_code,status,lat,long,segment_start,segment_end,land_use_class,nlcd_code,nlcd_snapshot_year
AA-17,Retired early,33.45202174568083,-111.80119980581311,2002-06-23,2006-01-01,"Developed, medium intensity",23,2001
AA-17,Retired early,33.45202174568083,-111.80119980581311,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
AA-17,Retired early,33.45202174568083,-111.80119980581311,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
AA-17,Retired early,33.45202174568083,-111.80119980581311,2016-01-01,2016-11-04,"Developed, medium intensity",23,2016
AB-19,Sampled to study end,33.35162519231977,-111.77361333568486,2002-06-10,2006-01-01,"Developed, low intensity",22,2001
AB-19,Sampled to study end,33.35162519231977,-111.77361333568486,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AB-19,Sampled to study end,33.35162519231977,-111.77361333568486,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AB-19,Sampled to study end,33.35162519231977,-111.77361333568486,2016-01-01,2019-01-01,"Developed, low intensity",22,2016
AB-19,Sampled to study end,33.35162519231977,-111.77361333568486,2019-01-01,2021-01-01,"Developed, low intensity",22,2019
AB-19,Sampled to study end,33.35162519231977,-111.77361333568486,2021-01-01,2025-01-31,"Developed, low intensity",22,2021
AC-16,Retired early,33.47962283806787,-111.71940466265252,2002-06-18,2006-01-01,"Developed, low intensity",22,2001
AC-16,Retired early,33.47962283806787,-111.71940466265252,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AC-16,Retired early,33.47962283806787,-111.71940466265252,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AC-16,Retired early,33.47962283806787,-111.71940466265252,2016-01-01,2016-11-04,"Developed, low intensity",22,2016
AC-20,Retired early,33.34307477301895,-111.72303770635072,2004-11-08,2006-01-01,"Developed, low intensity",22,2001
AC-20,Retired early,33.34307477301895,-111.72303770635072,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AC-20,Retired early,33.34307477301895,-111.72303770635072,2011-01-01,2015-02-06,"Developed, low intensity",22,2011
AD-10,Sampled to study end,33.676813524051646,-111.71147225104603,2002-06-18,2006-01-01,Shrub/scrub,52,2001
AD-10,Sampled to study end,33.676813524051646,-111.71147225104603,2006-01-01,2011-01-01,Shrub/scrub,52,2006
AD-10,Sampled to study end,33.676813524051646,-111.71147225104603,2011-01-01,2016-01-01,Shrub/scrub,52,2011
AD-10,Sampled to study end,33.676813524051646,-111.71147225104603,2016-01-01,2019-01-01,Shrub/scrub,52,2016
