site_code,status,lat,long,segment_start,segment_end,land_use_class,nlcd_code,nlcd_snapshot_year
AA-17,Retired early,33.45215242,-111.80062691,2000-08-29,2001-01-01,"Developed, low intensity",22,2001
AA-17,Retired early,33.45215242,-111.80062691,2001-01-01,2006-01-01,"Developed, low intensity",22,2001
AA-17,Retired early,33.45215242,-111.80062691,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AA-17,Retired early,33.45215242,-111.80062691,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AA-17,Retired early,33.45215242,-111.80062691,2016-01-01,2016-05-03,"Developed, low intensity",22,2016
AA-20,Retired early,33.31575447,-111.82392055,2000-08-18,2001-01-01,"Developed, low intensity",22,2001
AA-20,Retired early,33.31575447,-111.82392055,2001-01-01,2006-01-01,"Developed, low intensity",22,2001
AA-20,Retired early,33.31575447,-111.82392055,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AA-20,Retired early,33.31575447,-111.82392055,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AA-20,Retired early,33.31575447,-111.82392055,2016-01-01,2016-05-12,"Developed, low intensity",22,2016
AB-19,Sampled to study end,33.35162,-111.77364,2000-08-18,2001-01-01,"Developed, low intensity",22,2001
AB-19,Sampled to study end,33.35162,-111.77364,2001-01-01,2006-01-01,"Developed, low intensity",22,2001
AB-19,Sampled to study end,33.35162,-111.77364,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AB-19,Sampled to study end,33.35162,-111.77364,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AB-19,Sampled to study end,33.35162,-111.77364,2016-01-01,2019-01-01,"Developed, low intensity",22,2016
AB-19,Sampled to study end,33.35162,-111.77364,2019-01-01,2021-01-01,"Developed, low intensity",22,2019
AB-19,Sampled to study end,33.35162,-111.77364,2021-01-01,2025-05-02,"Developed, low intensity",22,2021
AC-16,Retired early,33.47893705,-111.71943351,2000-08-29,2001-01-01,"Developed, low intensity",22,2001
AC-16,Retired early,33.47893705,-111.71943351,2001-01-01,2006-01-01,"Developed, low intensity",22,2001
AC-16,Retired early,33.47893705,-111.71943351,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AC-16,Retired early,33.47893705,-111.71943351,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AC-16,Retired early,33.47893705,-111.71943351,2016-01-01,2016-05-03,"Developed, low intensity",22,2016
AD-10,Sampled to study end,33.67689447,-111.71140004,2000-08-03,2001-01-01,Shrub/scrub,52,2001
AD-10,Sampled to study end,33.67689447,-111.71140004,2001-01-01,2006-01-01,Shrub/scrub,52,2001
AD-10,Sampled to study end,33.67689447,-111.71140004,2006-01-01,2011-01-01,Shrub/scrub,52,2006
AD-10,Sampled to study end,33.67689447,-111.71140004,2011-01-01,2016-01-01,Shrub/scrub,52,2011
AD-10,Sampled to study end,33.67689447,-111.71140004,2016-01-01,2019-01-01,Shrub/scrub,52,2016
AD-10,Sampled to study end,33.67689447,-111.71140004,2019-01-01,2021-01-01,Shrub/scrub,52,2019
AD-10,Sampled to study end,33.67689447,-111.71140004,2021-01-01,2025-04-25,Shrub/scrub,52,2021
AD-21,Retired early,33.30702446,-111.70294153,2000-08-18,2001-01-01,"Developed, low intensity",22,2001
AD-21,Retired early,33.30702446,-111.70294153,2001-01-01,2006-01-01,"Developed, low intensity",22,2001
AD-21,Retired early,33.30702446,-111.70294153,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AD-21,Retired early,33.30702446,-111.70294153,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AD-21,Retired early,33.30702446,-111.70294153,2016-01-01,2016-05-05,"Developed, low intensity",22,2016
AE-23,Sampled to study end,33.21869957,-111.62649983,2000-08-25,2001-01-01,"Developed, open space",21,2001
AE-23,Sampled to study end,33.21869957,-111.62649983,2001-01-01,2006-01-01,"Developed, open space",21,2001
AE-23,Sampled to study end,33.21869957,-111.62649983,2006-01-01,2011-01-01,"Developed, open space",21,2006
AE-23,Sampled to study end,33.21869957,-111.62649983,2011-01-01,2016-01-01,"Developed, open space",21,2011
AE-23,Sampled to study end,33.21869957,-111.62649983,2016-01-01,2019-01-01,"Developed, open space",21,2016
AE-23,Sampled to study end,33.21869957,-111.62649983,2019-01-01,2021-01-01,"Developed, open space",21,2019
AE-23,Sampled to study end,33.21869957,-111.62649983,2021-01-01,2025-04-30,"Developed, open space",21,2021
AF-12,Sampled to study end,33.6102352,-111.62201023,2000-08-03,2001-01-01,Shrub/scrub,52,2001
AF-12,Sampled to study end,33.6102352,-111.62201023,2001-01-01,2006-01-01,Shrub/scrub,52,2001
AF-12,Sampled to study end,33.6102352,-111.62201023,2006-01-01,2011-01-01,Shrub/scrub,52,2006
AF-12,Sampled to study end,33.6102352,-111.62201023,2011-01-01,2016-01-01,Shrub/scrub,52,2011
