site_code,start_date,end_date,status,location_type,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019,nlcd_code_2021,land_use_2021
AA-17,2000-08-29,2016-05-03,Retired early,ESCA,33.45215242,-111.80062691,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AA-20,2000-08-18,2016-05-12,Retired early,ESCA,33.31575447,-111.82392055,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AB-19,2000-08-18,2025-05-02,Sampled to study end,ESCA,33.35162,-111.77364,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AC-16,2000-08-29,2016-05-03,Retired early,ESCA,33.47893705,-111.71943351,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AD-10,2000-08-03,2025-04-25,Sampled to study end,ESCA,33.67689447,-111.71140004,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
AD-21,2000-08-18,2016-05-05,Retired early,ESCA,33.30702446,-111.70294153,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AE-23,2000-08-25,2025-04-30,Sampled to study end,ESCA,33.21869957,-111.62649983,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
AF-12,2000-08-03,2025-04-25,Sampled to study end,ESCA,33.6102352,-111.62201023,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
F-8,2000-11-16,2025-04-02,Sampled to study end,ESCA,33.75598493,-112.74192461,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
G-15,2000-11-16,2025-03-31,Sampled to study end,ESCA,33.49892344,-112.67365342,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
I-11,2000-10-25,2025-03-31,Sampled to study end,ESCA,33.65442124,-112.61775501,Shrub/scrub,Barren land,Barren land,True,52,31,31,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,31,Barren land
I-17,2000-11-08,2025-03-31,Sampled to study end,ESCA,33.44059202,-112.57693338,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
L-7,2000-10-24,2016-05-02,Retired early,ESCA,33.78130347,-112.45220396,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
M-16,2000-11-08,2016-04-30,Retired early,ESCA,33.4826731750001,-112.444002161,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
M-9,2000-10-24,2001-07-23,Retired early,ESCA,33.7231006287547,-112.440622368419,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
N-12,2000-10-25,2025-04-02,Sampled to study end,ESCA,33.62205905,-112.37598673,Cultivated crops,"Developed, medium intensity","Developed, medium intensity",True,82,23,23,82,Cultivated crops,52,Shrub/scrub,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
O-9,2000-10-24,2025-04-02,Sampled to study end,ESCA,33.70631712,-112.35713683,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
P-16,2000-10-17,2025-04-07,Sampled to study end,ESCA,33.48209987,-112.30388325,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
P-18,2000-10-17,2016-05-05,Retired early,ESCA,33.4117783,-112.29121618,Cultivated crops,Cultivated crops,Cultivated crops,False,82,82,82,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops
Q-7,2000-10-26,2016-05-02,Retired early,ESCA,33.78404344,-112.25000446,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
R-12,2000-10-05,2016-04-21,Retired early,ESCA,33.60711789,-112.1936152,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
S-16,2000-10-12,2016-05-05,Retired early,ESCA,33.4667159,-112.14184589,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
T-11,2000-08-23,2025-04-03,Sampled to study end,ESCA,33.64816,-112.13335,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
T-13,2000-08-23,2025-04-02,Sampled to study end,ESCA,33.57299,-112.13908,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
T-19,2000-10-17,2025-04-15,Sampled to study end,ESCA,33.37853123,-112.12080379,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
U-12,2000-08-23,2025-04-03,Sampled to study end,ESCA,33.62722,-112.07862,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
U-13,2000-06-06,2025-04-03,Sampled to study end,ESCA,33.59796,-112.08335,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
U-8,2000-10-26,2025-04-03,Sampled to study end,ESCA,33.7711,-112.0919,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
V-13,2000-08-21,2016-04-19,Retired early,ESCA,33.58346223,-112.02280878,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
V-14,2000-08-21,2025-04-04,Sampled to study end,ESCA,33.55222,-112.05477,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
V-16,2000-10-12,2016-05-02,Retired early,ESCA,33.4711342620001,-112.046812844,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
V-18,2000-10-17,2014-03-28,Retired early,ESCA,33.38786046,-112.02883017,"Developed, open space","Developed, open space","Developed, low intensity",True,21,21,22,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",22,"Developed, low intensity",22,"Developed, low intensity"
V-20,2000-10-26,2025-04-29,Sampled to study end,ESCA,33.32819623,-112.03228427,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
W-15,2000-08-21,2025-04-24,Sampled to study end,ESCA,33.52388542,-111.99231927,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
